,Word,Vocabulary,Definition
0,Primus,"primus, -a, -um","the first, first"
1,amor,"amor, -oris (m.)","love, affection, strong friendly feeling"
6,quem,"qui, quae, quod","who, which, that"
7,non,non,"not, by no means, not at all"
10,dedit,"do, dare, dedi, datum","to give, hand over, deliver, give up, pay, 
surrender, grant"
12,sed,sed,"but, on the contrary, but also, but even, but in 
fact"
15,ira,"ira, -ae (f.)","anger, wrath, rage, ire, passion, indignation"
18,hunc,hic,"here, in this place"
19,hunc,"hic, haec, hoc",this
28,flectentem,"flecto, -ere, flexi, flexum","to bend, bow, curve, turn, turn round"
29,cornua,"cornu, -us (n.)","horn; hoof; beak, claw; bow; horn, trumpet; 
end, wing of an army"
38,puer,"puer, -eri (m.)","a male child, boy, lad, young man"
40,cum,cum,"when, while, since, although"
41,cum,cum,"(with abl.) with, together, along with"
42,fortibus,"fortis, -e","strong, firm, stout, courageous, brave, valiant, 
bold, fearless"
46,dixerat,"dico, -ere, dixi, dictum","to say, speak, utter, tell, mention, relate, affirm, 
declare, state, assert"
50,umeros,"umerus (humerus), -i (m.)","the upper arm, shoulder"
52,nostros,"noster, -stra, -strum","our, our own, ours, of us"
54,qui,"qui, quae, quod","who, which, that"
55,dare,"do, dare, dedi, datum","to give, hand over, deliver, give up, pay, 
surrender, grant"
56,certa,"certus, -a, -um","determined, resolved, fixed, settled, 
purposed, certain"
59,dare,"do, dare, dedi, datum","to give, hand over, deliver, give up, pay, 
surrender, grant"
60,vulnera,"vulnus (volnus), -eris (n.)",a wound
61,possumus,"possum, posse, potui","to be able, have power, can"
64,qui,"qui, quae, quod","who, which, that"
65,modo,"modus, -i (m.)","a measure, extent, quantity; a manner, way, 
mode"
67,tot,tot,"so many, such a number of"
77,tu,"tu, tui, tibi, te, te",you (singular)
78,face,"facio, -ere, feci, factum","to make, build, produce, compose; do, 
perform, make"
79,nescio,"nescio, -ire, -ivi, -itum","to not know (how); be ignorant, unfamiliar, 
unaware, unable"
80,quos,"qui, quae, quod","who, which, that"
81,esto,"sum, esse, fui",to be
83,amores,"amor, -oris (m.)","love, affection, strong friendly feeling"
85,tua,"tuus, -a, -um","your, yours, of you (singular)"
87,nec,nec or neque,"and not, also not, nor"
88,laudes,"laus, laudis (f.)","praise, commendation, glory, fame, renown, 
esteem"
89,adsere,"adsum (assum), adesse, adfui","to be at, be present, be at hand"
91,filius,"filius, -i (m.)",a son
92,huic,hic,"here, in this place"
93,huic,"hic, haec, hoc",this
96,tuus,"tuus, -a, -um","your, yours, of you (singular)"
97,omnia,"omnis, -e","all, every"
101,te,"tu, tui, tibi, te, te",you (singular)
102,meus,"meus, -a, -um","of me, my, mine, belonging to me, my own"
103,arcus',"arcus, -us (m.)","a bow, arc, arch; rainbow; anything arched or 
curved"
104,ait,"aio (defective verb, ais, ait, 
aiunt)","to assert, affirm, say, tell, relate"
107,animalia,"animal, -is (m. or f.)","an animal, living thing"
108,cedunt,"cedo, -ere, cessi, cessum","to go from, give place, withdraw, go away, 
depart, yield"
109,cuncta,"cunctus, -a, -um","all together, the whole, all, entire"
110,deo,"deus, -i (m.)","a god, deity"
114,est,"sum, esse, fui",to be
115,tua,"tuus, -a, -um","your, yours, of you (singular)"
116,gloria,"gloria, -ae (f.)","glory, fame, renown, praise, honor"
120,dixit,"dico, -ere, dixi, dictum","to say, speak, utter, tell, mention, relate, affirm, 
declare, state, assert"
121,et,et,"and; also, too, besides, likewise, as well, even"
129,constitit,"constituo, -ere, -stitui, -stitutum","to set up; place, locate; stop; decide, appoint; 
station (troops); establish, create; arrange"
130,arce,"arx, arcis (f.)","a castle, citadel, fortress, stronghold"
134,duo,"duo, -ae, -o",two
136,pharetra,"pharetra, -ae (f.)",a quiver
138,operum,"opus, -eris (n.)","work, labor, toil"
141,hoc,hic,"here, in this place"
142,hoc,"hic, haec, hoc",this
144,facit,"facio, -ere, feci, factum","to make, build, produce, compose; do, 
perform, make"
145,illud,"ille, illa, illud",that
146,amorem,"amor, -oris (m.)","love, affection, strong friendly feeling"
148,quod,"qui, quae, quod","who, which, that"
149,facit,"facio, -ere, feci, factum","to make, build, produce, compose; do, 
perform, make"
152,est,"sum, esse, fui",to be
153,et,et,"and; also, too, besides, likewise, as well, even"
159,quod,"qui, quae, quod","who, which, that"
163,est,"sum, esse, fui",to be
164,et,et,"and; also, too, besides, likewise, as well, even"
165,habet,"habeo, -ere, -ui, -itum","to have, hold, support, carry, wear"
166,sub,sub,"(with abl.) under, below, beneath, underneath, 
behind; (with acc.) under, below, beneath, up 
to, towards"
170,hoc,hic,"here, in this place"
171,hoc,"hic, haec, hoc",this
172,deus,"deus, -i (m.)","a god, deity"
173,in,in,"(with abl.) in, on; (with acc.) into, to, onto"
178,at,"at, ast",but (introducing a contrast to what precedes)
179,illo,"ille, illa, illud",that
183,per,per,"(with acc.) through, across, along, among"
184,ossa,"os, oris (n.)",the mouth; (in general) the face
188,alter,"alter, -tera, -terum","one, another, the one, the other (of two)"
189,amat,"amo, -are, -avi, -atum",to love
191,fugit,"fugio, -ere, fugi, fugitum","to flee, fly, take flight, run away, make off"
192,altera,"alter, -tera, -terum","one, another, the one, the other (of two)"
193,nomen,"nomen, -inis (n.)","a means of knowing, name"
194,amantis,"amo, -are, -avi, -atum",to love
201,gaudens,"gaudeo, -ere, gavisus sum","to rejoice, be glad, be joyful, take pleasure, be 
pleased, delight"
208,positos,"pono, -ere, posui, positum","to put down, set down, put, place, set, fix, lay, 
deposit"
209,sine,sine,(with abl.) without
210,lege,"lex, legis (f.)","a law, bill, regulation, principle, rule"
211,capillos,"capillus, -i (m.)","the hair of the head, hair"
213,multi,"multus, -a, -um","much, great, many"
214,illam,"ille, illa, illud",that
215,petiere,"peto, -ere, -ivi (or -ii), -itum","to strive for, seek, aim at, repair to, make for, 
travel to"
217,illa,"ille, illa, illud",that
219,petentes,"peto, -ere, -ivi (or -ii), -itum","to strive for, seek, aim at, repair to, make for, 
travel to"
223,nemora,"nemus, -oris (n.)","a tract of woodland, wood, forest, grove"
226,nec,nec or neque,"and not, also not, nor"
228,quid,"quis, qua, quid","anyone, anything, someone, something (often 
with si, ne, num or nisi)"
229,quid,"quis, quid","who, what"
232,quid,"quis, qua, quid","anyone, anything, someone, something (often 
with si, ne, num or nisi)"
233,quid,"quis, quid","who, what"
234,Amor,"amor, -oris (m.)","love, affection, strong friendly feeling"
236,quid,"quis, qua, quid","anyone, anything, someone, something (often 
with si, ne, num or nisi)"
237,quid,"quis, quid","who, what"
238,sint,"sum, esse, fui",to be
242,saepe,saepe,"often, oft, oftentimes, many times, frequently"
243,pater,"pater, -tris (m.)",a father
244,dixit,"dico, -ere, dixi, dictum","to say, speak, utter, tell, mention, relate, affirm, 
declare, state, assert"
247,mihi,"ego, mei, mihi, me, me","I, me"
249,filia,"filius, -i (m.)",a son
251,debes,"debeo, -ere, -ui, -itum","to owe, be in debt; ought, must, should"
254,saepe,saepe,"often, oft, oftentimes, many times, frequently"
255,pater,"pater, -tris (m.)",a father
256,dixit,"dico, -ere, dixi, dictum","to say, speak, utter, tell, mention, relate, affirm, 
declare, state, assert"
259,mihi,"ego, mei, mihi, me, me","I, me"
261,nata,"nascor, -i, natus sum","to be born, begin life, be produced, proceed, 
be begotten"
265,illa,"ille, illa, illud",that
266,velut,velut or veluti,"even as, just as, like as, like"
267,crimen,"crimen, -inis (n.)","a judgment, charge, accusation, reproach"
271,pulchra,"pulcher, -chra, -chrum","beautiful, beauteous, fair, handsome"
274,ora,"ora, -ae (f.)","an extremity, border, edge, end, boundary, 
limit, shore"
277,patris,"pater, -tris (m.)",a father
284,mihi,"ego, mei, mihi, me, me","I, me"
291,dixit,"dico, -ere, dixi, dictum","to say, speak, utter, tell, mention, relate, affirm, 
declare, state, assert"
294,dedit,"do, dare, dedi, datum","to give, hand over, deliver, give up, pay, 
surrender, grant"
295,hoc,hic,"here, in this place"
296,hoc,"hic, haec, hoc",this
297,pater,"pater, -tris (m.)",a father
298,ante,ante,"(with acc.) (of space) before, in front, forwards; 
(of time) before, previously"
300,',"a, ab, abs","(with abl.) from, away from, out of, by"
301,ille,"ille, illa, illud",that
302,quidem,quidem,"assuredly, certainly, in fact, indeed"
305,sed,sed,"but, on the contrary, but also, but even, but in 
fact"
306,te,"tu, tui, tibi, te, te",you (singular)
308,iste,"iste, -a, -ud","that, this, that of yours"
309,quod,"qui, quae, quod","who, which, that"
311,esse,"sum, esse, fui",to be
315,tuo,"tuus, -a, -um","your, yours, of you (singular)"
316,tua,"tuus, -a, -um","your, yours, of you (singular)"
317,forma,"forma, -ae (f.)","a form, contour, figure, shape, appearance, 
looks"
321,amat,"amo, -are, -avi, -atum",to love
323,cupit,"cupio, -ere, -ivi, -itum","to long for, desire, wish"
328,quodque,"qui, quae, quod","who, which, that"
329,cupit,"cupio, -ere, -ivi, -itum","to long for, desire, wish"
331,sperat,"spero, -are, -avi, -atum","to hope for; trust; look forward to, expect"
334,illum,"ille, illa, illud",that
345,ut,ut or uti,"how, in what way; as, like; when; that, so that"
348,ardent,"ardeo, -ere, -si, -sum","to be on fire, burn, blaze, be burned, glow"
350,quas,"qui, quae, quod","who, which, that"
351,forte,forte,"by chance, by accident"
353,vel,vel,or
356,vel,vel,or
357,iam,iam,"at the moment, at the present moment, now, 
at this time, just now, at present"
358,sub,sub,"(with abl.) under, below, beneath, underneath, 
behind; (with acc.) under, below, beneath, up 
to, towards"
359,luce,"lux, lucis (f.)","light, brightness"
360,reliquit,"relinquo, -ere, -liqui, -lictum","to leave behind, give up, leave, abandon"
362,sic,sic,"so, thus, in this manner, in such a manner, 
in the same way or manner, in like manner, 
likewise"
363,deus,"deus, -i (m.)","a god, deity"
364,in,in,"(with abl.) in, on; (with acc.) into, to, onto"
365,flammas,"flamma, -ae (f.)","a blazing fire, blaze, flame"
366,abiit,"abeo, -ire, -ii, -itum","to go from, go away, go off, go forth, go, 
depart"
368,sic,sic,"so, thus, in this manner, in such a manner, 
in the same way or manner, in like manner, 
likewise"
370,toto,"totus, -a, -um","all, all the, all at once, the whole, entire, total"
